q_name,response,q_label,n
IC015Q09NA,Strongly disagree,"If I need a new application, I choose it by myself.",115
IC015Q09NA,Disagree,"If I need a new application, I choose it by myself.",428
IC015Q09NA,Agree,"If I need a new application, I choose it by myself.",2000
IC015Q09NA,Strongly agree,"If I need a new application, I choose it by myself.",955
IC016Q02NA,Strongly disagree,I like to exchange solutions to problems with digital devices with others on the Internet.,475
IC016Q02NA,Disagree,I like to exchange solutions to problems with digital devices with others on the Internet.,1270
IC016Q02NA,Agree,I like to exchange solutions to problems with digital devices with others on the Internet.,1435
IC016Q02NA,Strongly agree,I like to exchange solutions to problems with digital devices with others on the Internet.,289
IC016Q04NA,Strongly disagree,I like to meet friends and play computer and video games with them.,681
IC016Q04NA,Disagree,I like to meet friends and play computer and video games with them.,920
IC016Q04NA,Agree,I like to meet friends and play computer and video games with them.,1258
IC016Q04NA,Strongly agree,I like to meet friends and play computer and video games with them.,599
IC016Q05NA,Strongly disagree,I like to share information about digital devices with my friends.,364
IC016Q05NA,Disagree,I like to share information about digital devices with my friends.,1079
IC016Q05NA,Agree,I like to share information about digital devices with my friends.,1691
IC016Q05NA,Strongly agree,I like to share information about digital devices with my friends.,328
IC016Q07NA,Strongly disagree,I learn a lot about digital media by discussing with my friends and relatives.,328
IC016Q07NA,Disagree,I learn a lot about digital media by discussing with my friends and relatives.,911
IC016Q07NA,Agree,I learn a lot about digital media by discussing with my friends and relatives.,1831
IC016Q07NA,Strongly agree,I learn a lot about digital media by discussing with my friends and relatives.,391
ST004D01T,Female,gender,2257
ST004D01T,Male,gender,2263
